City,Date,PM25,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Ahmedabad,25-10-2018,121.11,,51.7,137.41,61.49,,51.7,78.64,58.07,3.87,21.26,7.16,824,Severe
Ahmedabad,26-10-2018,82.49,,30.47,80.4,36.1,,30.47,61.13,48.85,3.87,21.26,7.16,578,Severe
Ahmedabad,27-10-2018,72.93,,90.96,78.54,73.82,,90.96,39.24,69.95,3.87,21.26,7.16,161,Moderate
Ahmedabad,28-10-2018,94.08,,34.06,50.69,30.89,,34.06,68.42,47.74,3.87,21.26,7.16,849,Severe
Ahmedabad,29-10-2018,82.88,,18.59,73.74,27.9,,18.59,56.89,47.67,7.12,27.68,33.44,574,Severe
Ahmedabad,30-10-2018,88.69,,26.91,70.9,31.3,,26.91,68.94,53.16,38.06,34.91,109.23,509,Severe
Ahmedabad,31-10-2018,82.52,,24.13,69.94,30.08,,24.13,44.95,64.07,10.47,23.09,3.27,556,Severe
Ahmedabad,01-11-2018,72.11,,48.7,85.77,47.36,,48.7,42.51,54.52,8.43,46.89,7.26,669,Severe
Ahmedabad,02-11-2018,78.48,,49.94,110.63,54.14,,49.94,67.06,46.93,16.41,36.27,6.95,1217,Severe
Ahmedabad,03-11-2018,103.22,,68.97,102.84,62.88,,68.97,57.8,52.79,32.77,39.01,15.09,1033,Severe
Ahmedabad,04-11-2018,70.39,,44.04,55.52,37.71,,44.04,69.83,59.5,77.43,72.18,53.35,625,Severe
Ahmedabad,05-11-2018,107.9,,43.47,109.59,50.08,,43.47,49.76,55.01,34.93,68.8,26.9,803,Severe
Ahmedabad,06-11-2018,117.08,,37.42,106.21,46.11,,37.42,77.6,55.05,16.14,53.75,11.36,741,Severe
Ahmedabad,07-11-2018,162.18,,59.53,94.35,59.82,,59.53,42.01,67,16.62,52.51,11.42,776,Severe
Ahmedabad,08-11-2018,205.21,,93.31,100.87,77.22,,93.31,75.95,61.17,20.41,55.29,13.92,1630,Severe
Ahmedabad,09-11-2018,165.37,,70.6,95.3,61.99,,70.6,52.45,39.6,17.88,48.01,11.32,1160,Severe
Ahmedabad,10-11-2018,110.7,,38.01,107.13,76.89,,38.01,57.58,,19.05,52.97,12.11,1056,Severe
Ahmedabad,11-11-2018,143.72,,65.62,102.87,75.79,,65.62,51.92,,18.27,54.64,15.01,1256,Severe
Ahmedabad,12-11-2018,91.56,,79.42,118.89,73.26,,79.42,60.97,,21.11,56.47,13.11,1154,Severe
Ahmedabad,13-11-2018,133.13,,77.55,155.59,80.21,,77.55,101.13,,26.28,59.96,15.48,1548,Severe
Ahmedabad,14-11-2018,143.52,,41.62,138.89,56.23,,41.62,91.74,89.17,3.97,32.2,6.81,820,Severe
Ahmedabad,15-11-2018,83.28,,33.47,97.9,41.93,,33.47,48.93,36.84,3.97,32.2,6.81,688,Severe
Ahmedabad,16-11-2018,75.58,,44.07,68.01,40.73,,44.07,47.43,68.17,3.97,32.2,6.81,595,Severe
Ahmedabad,17-11-2018,93.73,,68.52,84.54,96.09,,68.52,62.65,50.29,3.97,32.2,6.81,1354,Severe
Ahmedabad,18-11-2018,127.46,,108.81,77.65,129.43,,108.81,63.63,48.32,3.97,32.2,6.81,1672,Severe
Ahmedabad,19-11-2018,98.6,,90.33,86.74,70.77,,90.33,85.76,52.53,3.97,32.2,6.81,1472,Severe
Ahmedabad,20-11-2018,84.71,,88.34,83.28,83.77,,88.34,70.31,40.06,3.97,32.2,6.81,1295,Severe
Ahmedabad,21-11-2018,86.52,,115.87,66.59,81.77,,115.87,44.24,36,3.97,32.2,6.81,1646,Severe
Ahmedabad,22-11-2018,90.1,,57.16,87.75,52.58,,57.16,60.45,41.82,3.97,32.2,6.81,1329,Severe
Ahmedabad,23-11-2018,68.52,,39.47,72.83,39.22,,39.47,60.58,50.1,3.97,32.2,6.81,530,Severe
Ahmedabad,24-11-2018,86.43,,34.52,82.76,38.92,,34.52,62.48,47.34,3.97,32.2,6.81,798,Severe
Ahmedabad,25-11-2018,70.51,,25.76,98.98,37.9,,25.76,67.36,47.72,3.97,32.2,6.81,689,Severe
Ahmedabad,26-11-2018,78.48,,16.91,84.74,29.58,,16.91,61.98,56.39,3.97,32.2,6.81,413,Severe
Ahmedabad,27-11-2018,63.75,,11.7,77.73,25.01,,11.7,64.78,59.28,3.97,32.2,6.81,415,Severe
Ahmedabad,28-11-2018,68.3,,8.69,73.99,22.45,,8.69,50.93,72.2,3.99,32.22,6.84,228,Poor
Ahmedabad,29-11-2018,91.23,,32.82,65.66,33.9,,32.82,34.58,56.17,4,32.25,6.89,392,Very Poor
Ahmedabad,30-11-2018,92.74,,28.91,80.7,35.3,,28.91,44.35,46.56,4.03,32.27,6.9,657,Severe
Ahmedabad,01-12-2018,96.58,,42.1,80.15,42.52,,42.1,52.73,42.37,4.04,32.3,6.9,657,Severe
Ahmedabad,02-12-2018,91.37,,28.26,91.43,37.49,,28.26,51.83,38.19,4.04,32.27,6.89,702,Severe
Ahmedabad,03-12-2018,88.02,,25.92,83.26,34.25,,25.92,37.48,42.7,4.07,32.29,6.88,488,Severe
Ahmedabad,04-12-2018,96.82,,31.36,78.81,36.22,,31.36,31.51,42.71,4.06,32.31,6.93,605,Severe
Ahmedabad,05-12-2018,96.89,,28.4,92.83,37.91,,28.4,33.05,41.44,4.09,32.31,6.94,687,Severe
Ahmedabad,06-12-2018,109.2,,37.47,104.9,45.83,,37.47,76.7,43.34,4.08,32.3,6.93,714,Severe
Ahmedabad,07-12-2018,94.95,,30.29,96.97,39.95,,30.29,65.02,43.5,4.05,32.34,6.95,667,Severe
Ahmedabad,08-12-2018,75.42,,11.02,75.02,23.99,,11.02,49.3,54.91,4.07,32.31,6.93,423,Severe
Ahmedabad,09-12-2018,73.07,,32.21,86.61,38.54,,32.21,45.82,51.18,4.08,32.35,6.96,417,Severe
Ahmedabad,10-12-2018,98.25,,57.51,110.07,58.22,,57.51,59.11,39.64,4.07,32.35,6.94,1158,Severe
Ahmedabad,11-12-2018,118.16,,60.28,102.68,58,,60.28,104.49,32.76,4.11,32.32,6.95,938,Severe
Ahmedabad,12-12-2018,95.4,,41.8,78.91,42.06,,41.8,51.61,39.05,4.09,32.36,6.95,920,Severe
Ahmedabad,13-12-2018,70.04,,14.87,78.1,26.87,,14.87,69.86,55.89,4.05,32.32,6.94,336,Very Poor
Ahmedabad,14-12-2018,56.71,,7.45,60.4,18.52,,7.45,42.48,61.74,4.07,32.3,6.9,275,Poor
Ahmedabad,15-12-2018,59.4,,7.23,47.87,15.42,,7.23,21.53,71.46,4.07,32.33,6.97,191,Moderate
Ahmedabad,16-12-2018,54.75,,6.99,43.7,14.29,,6.99,19.99,76.37,4.06,32.31,6.94,172,Moderate
Ahmedabad,17-12-2018,62.18,,7.67,55.29,17.43,,7.67,29.22,73.67,4.06,32.31,6.93,198,Moderate
Ahmedabad,18-12-2018,238.42,,26.3,73.22,32.07,,26.3,34.63,63.89,4.08,32.34,6.94,381,Very Poor
Ahmedabad,19-12-2018,125.16,,46.84,96.16,48.74,,46.84,63.66,55.2,4.11,32.33,6.96,800,Severe
Ahmedabad,20-12-2018,106.45,,56.46,78.1,50.03,,56.46,83.62,55.5,4.08,32.39,7,967,Severe
Ahmedabad,21-12-2018,92.45,,46.89,85.56,46.28,,46.89,60.42,,4.1,32.39,7,978,Severe
Ahmedabad,22-12-2018,111.75,,89.19,90.59,88.27,,89.19,80.9,62.55,4.09,32.36,6.99,1558,Severe
Ahmedabad,23-12-2018,106.19,,45.76,89.03,47.49,,45.76,55.16,53.79,4.1,32.37,6.96,1300,Severe
Ahmedabad,24-12-2018,72.1,,11.61,94.32,28.91,,11.61,54.74,63.46,4.08,32.37,6.95,355,Very Poor
Ahmedabad,25-12-2018,79.15,,12.74,92.85,29.19,,12.74,64.9,70.54,4.08,32.34,6.94,370,Very Poor
Ahmedabad,26-12-2018,94.8,,23.18,79.56,31.84,,23.18,56.2,63.95,4.08,32.3,6.94,448,Severe
Ahmedabad,27-12-2018,80.14,,86.91,71.98,65.41,,86.91,64.7,47.86,4.09,32.31,6.99,1084,Severe
Ahmedabad,28-12-2018,89.14,,63.43,81.71,55.88,,63.43,70,44.86,4.07,32.37,6.93,1319,Severe
Ahmedabad,29-12-2018,68.29,,16.94,82.74,29.12,,16.94,61.27,51.76,4.05,32.32,6.94,379,Very Poor
Ahmedabad,30-12-2018,67.75,,17.63,81.78,29.28,,17.63,57.37,63.34,4.07,32.3,6.98,396,Very Poor
Ahmedabad,31-12-2018,80.54,,71.11,77,61.31,,71.11,64.49,60.07,4.05,32.33,6.93,744,Severe
Ahmedabad,01-01-2019,110.71,,63.03,111.56,100.04,,63.03,80.15,57.12,4.08,32.33,6.93,1474,Severe
Ahmedabad,02-01-2019,147.57,,59.56,107.46,129.87,,59.56,47.7,48.23,4.1,32.34,6.99,1246,Severe
Ahmedabad,03-01-2019,131.5,,119.68,75.82,88.04,,119.68,55.29,43.25,4.09,32.42,7,1719,Severe
Ahmedabad,04-01-2019,102.12,,57.92,95.29,54.93,,57.92,69.02,51.71,4.09,32.38,6.98,1264,Severe
Ahmedabad,05-01-2019,115,,63.86,111.04,61.99,,63.86,86.65,59.25,4.12,32.43,6.97,1127,Severe
Ahmedabad,06-01-2019,84.84,,40.16,72.85,39.55,,40.16,52.52,59.42,4.12,32.35,7.02,908,Severe
Ahmedabad,07-01-2019,74.62,,8.16,73.22,21.96,,8.16,48.21,74.83,4.12,32.35,6.99,236,Poor
Ahmedabad,08-01-2019,89.72,,13.83,80.78,26.92,,13.83,56.43,73.64,4.09,32.39,6.99,313,Very Poor
Ahmedabad,09-01-2019,84.03,,26.24,90.66,36.19,,26.24,63.72,72.75,4.13,32.39,7.07,471,Severe
Ahmedabad,10-01-2019,82.79,,32.14,79.69,36.86,,32.14,59.98,60.48,4.14,32.36,7.02,661,Severe
Ahmedabad,11-01-2019,76.38,,42.44,82.76,43.33,,42.44,70.61,59.68,4.12,32.37,7.02,711,Severe
Ahmedabad,12-01-2019,66.01,,53.08,73.79,46.37,,53.08,61.71,73.43,4.11,32.35,6.96,854,Severe
Ahmedabad,13-01-2019,116.42,,63.2,82.77,54.86,,63.2,64.52,59.07,4.16,32.4,6.95,1258,Severe
Ahmedabad,14-01-2019,75.49,,9.04,61.8,19.74,,9.04,34.03,80.26,4.16,32.44,7.03,407,Severe
Ahmedabad,15-01-2019,66.97,,6.96,37.35,12.77,,6.96,28.48,89.73,4.11,32.42,7.03,172,Moderate
Ahmedabad,16-01-2019,161.09,,101.89,116.48,108.56,,101.89,64.92,84.85,4.06,32.36,6.94,116,Moderate
Ahmedabad,17-01-2019,124.45,,96.21,97.63,81.12,,96.21,56.28,53.72,4.11,32.36,6.97,1302,Severe
Ahmedabad,18-01-2019,95.15,,48.24,95.6,49.59,,48.24,79.66,52.85,4.12,32.33,6.96,1275,Severe
Ahmedabad,19-01-2019,73.58,,32.68,80.71,37.41,,32.68,56.74,36.97,4.1,32.3,6.96,527,Severe
Ahmedabad,20-01-2019,86.32,,49.43,104.79,54.37,,49.43,79.76,35.32,4.1,32.33,6.95,839,Severe
Ahmedabad,21-01-2019,149.26,,78.38,85.92,65.56,,78.38,98.89,27.07,4.1,32.4,6.95,1537,Severe
Ahmedabad,22-01-2019,70.06,,26.17,55.69,27.82,,26.17,62.14,23.56,4.09,32.34,7.02,547,Severe
Ahmedabad,23-01-2019,86.59,,40.08,82.87,42.04,,40.08,83.72,32.62,4.11,32.35,6.95,716,Severe
Ahmedabad,24-01-2019,74.12,,18.26,81.45,29.55,,18.26,94.78,39.51,4.12,32.33,6.92,464,Severe
Ahmedabad,25-01-2019,52.92,,11.03,63.81,21.32,,11.03,63.17,43.54,4.07,32.32,6.95,302,Very Poor
Ahmedabad,26-01-2019,47.26,,16.22,64.71,24.43,,16.22,63.03,20,4.04,32.31,6.95,260,Poor
Ahmedabad,27-01-2019,52.79,,18.13,59.21,24.19,,18.13,37.29,,4.07,32.34,6.93,430,Severe
Ahmedabad,28-01-2019,63.68,,22.56,67.41,28.61,,22.56,37.73,53.12,4.06,32.32,6.93,477,Severe
Ahmedabad,29-01-2019,73.37,,16.1,77.92,27.51,,16.1,38.59,39.08,4.05,32.28,6.92,491,Severe
Ahmedabad,30-01-2019,55.24,,34.37,83.79,39.08,,34.37,78.4,40.04,4.01,32.3,6.94,470,Severe
Ahmedabad,31-01-2019,83.1,,37.91,110.77,47.47,,37.91,94.79,44.33,4.06,32.31,6.93,847,Severe
Ahmedabad,01-02-2019,76.87,,17.85,77.35,28.34,,17.85,87.94,36.28,4.05,32.3,6.93,559,Severe
Ahmedabad,02-02-2019,47.01,,13.12,66.95,23.24,,13.12,71.48,45.06,4.04,32.33,6.92,334,Very Poor
Ahmedabad,03-02-2019,54.77,,11.01,77.02,24.46,,11.01,64.47,53.55,4.08,32.36,6.94,346,Very Poor
Ahmedabad,04-02-2019,103.13,,46.91,80.34,45.24,,46.91,56.3,52.37,4.08,32.31,7.02,529,Severe
Ahmedabad,05-02-2019,117.59,,61.13,116.34,61.73,,61.13,76.89,42.29,4.12,32.36,7.06,1261,Severe
Ahmedabad,06-02-2019,50.15,,9.02,67.96,21.2,,9.02,57.09,47.5,4.08,32.29,6.94,254,Poor
Ahmedabad,07-02-2019,94.1,,10.62,44.91,16.6,,10.62,42.04,55.84,4.08,32.31,6.93,308,Very Poor
Ahmedabad,08-02-2019,105.03,,10.13,56.09,18.99,,10.13,41.4,43.09,4.07,32.3,6.97,290,Poor
Ahmedabad,09-02-2019,46.5,,15.39,79.42,27.47,,15.39,41.88,41.7,4.08,32.33,6.9,340,Very Poor
Ahmedabad,10-02-2019,41.76,,20.48,77.13,29.76,,20.48,55.24,44.7,4.06,32.31,6.91,492,Severe
Ahmedabad,11-02-2019,46.91,,14.6,86.07,28.61,,14.6,51.46,51.3,4.05,32.32,6.92,343,Very Poor
Ahmedabad,12-02-2019,59.98,,50.93,76.66,46.6,,50.93,53.21,53.67,4.09,32.32,6.9,604,Severe
Ahmedabad,13-02-2019,82.79,,45.8,86.15,47.96,,45.8,93.37,52.04,4.11,32.28,6.99,1028,Severe
Ahmedabad,14-02-2019,62.6,,19.59,65.12,26.31,,19.59,38.05,57.79,4.1,32.36,6.95,755,Severe
Ahmedabad,15-02-2019,72.53,,20.61,102.5,35.87,,20.61,45.85,46.37,4.12,32.31,6.98,489,Severe
Ahmedabad,16-02-2019,44.69,,32.07,75.36,35.79,,32.07,39.99,53.96,4.1,32.37,6.98,373,Very Poor
Ahmedabad,17-02-2019,54.18,,35.1,83.9,39.51,,35.1,51.23,51.56,4.09,32.34,7.03,914,Severe
Ahmedabad,18-02-2019,81.84,,28.68,104.86,40.93,,28.68,87.99,43.05,4.1,32.4,7.02,895,Severe
Ahmedabad,19-02-2019,46.48,,17.55,60.72,24.22,,17.55,42.93,39.32,4.22,32.37,6.99,502,Severe
Ahmedabad,20-02-2019,62.32,,64.13,83.57,55.67,,64.13,38.91,32.1,4.16,32.41,7,834,Severe
Ahmedabad,21-02-2019,37.26,,8.83,37.95,13.95,,8.83,23.36,29.13,4.1,32.37,7.03,826,Severe
Ahmedabad,22-02-2019,37.96,,16.2,48.69,20.61,,16.2,19.56,15.47,4.11,32.4,7.03,403,Severe
Ahmedabad,23-02-2019,34.1,,12.42,67.07,22.88,,12.42,42.34,59.67,4.09,32.42,6.97,253,Poor
Ahmedabad,24-02-2019,64.5,,56.57,77.32,49.9,,56.57,52.95,39.14,4.14,32.38,7.02,789,Severe
Ahmedabad,25-02-2019,50.97,,42.41,49.52,35.15,,42.41,38.67,43.21,4.1,32.38,7.02,904,Severe
Ahmedabad,26-02-2019,64.44,,13.19,45.6,18.2,,13.19,33.91,33.88,4.15,32.37,7.08,467,Severe
Ahmedabad,27-02-2019,51.5,,12.26,52.88,19.41,,12.26,29.79,38.45,4.17,32.4,7.09,296,Poor
Ahmedabad,28-02-2019,33.38,,14.07,73.92,25.42,,14.07,50.46,48.39,4.15,32.38,7.04,307,Very Poor
Ahmedabad,01-03-2019,42.11,,14.18,84.67,28.04,,14.18,49.29,47.63,4.11,32.38,6.94,350,Very Poor
Ahmedabad,02-03-2019,46.35,,9.25,69.51,21.69,,9.25,62.8,69.79,4.08,32.34,7.07,318,Very Poor
Ahmedabad,03-03-2019,61.32,,15.88,48.4,20.36,,15.88,49.88,21.17,4.16,32.45,7.04,338,Very Poor
Ahmedabad,04-03-2019,48.84,,9.85,42.96,15.71,,9.85,26.4,51.34,4.1,32.38,7.04,276,Poor
Ahmedabad,05-03-2019,39.23,,12.69,67.29,23.08,,12.69,33.79,59.73,4.07,32.33,7.03,286,Poor
Ahmedabad,06-03-2019,45.37,,23.56,72.21,30.3,,23.56,45.56,49.33,4.17,32.33,6.98,461,Severe
Ahmedabad,07-03-2019,55.7,,34.47,72.07,36.24,,34.47,51.26,52.99,4.12,32.38,7.03,824,Severe
Ahmedabad,08-03-2019,54.11,,48.38,54.45,38.8,,48.38,45.55,41.35,4.15,32.45,7.1,754,Severe
Ahmedabad,09-03-2019,52.68,,29.23,47.19,26.52,,29.23,15.13,57.32,4.16,32.43,7.08,926,Severe
Ahmedabad,10-03-2019,44.12,,10.66,79.99,24.97,,10.66,60.68,61.08,4.17,32.44,7.06,280,Poor
Ahmedabad,11-03-2019,46.52,,17.55,48.97,21.43,,17.55,38.16,47.77,4.12,32.42,7.08,310,Very Poor
Ahmedabad,12-03-2019,57.06,,34.49,100.8,43.19,,34.49,60.72,48.13,4.11,32.35,7.05,606,Severe
Ahmedabad,13-03-2019,84.14,,15.24,107.41,34.05,,15.24,79.47,50.53,4.07,32.43,7.04,632,Severe
Ahmedabad,14-03-2019,52.24,,10.75,61.88,20.71,,10.75,24.81,56.16,4.1,32.37,6.95,262,Poor
Ahmedabad,15-03-2019,62.44,,26.15,84.42,34.65,,26.15,48.85,58.49,4.1,32.38,6.98,428,Severe
Ahmedabad,16-03-2019,66.97,,17.21,91.72,31.41,,17.21,62.66,59.98,4.11,32.39,7.03,625,Severe
Ahmedabad,17-03-2019,75.05,,12.67,96.99,30.14,,12.67,58.55,64.12,4.11,32.4,6.97,321,Very Poor
Ahmedabad,18-03-2019,60.5,,18.21,104.48,35,,18.21,41.81,56.66,4.11,32.34,7.03,353,Very Poor
Ahmedabad,19-03-2019,88.33,,80.16,95.95,73.2,,80.16,39.24,45.03,4.08,32.36,7.01,1017,Severe
Ahmedabad,20-03-2019,78.11,,13.65,60.29,21.95,,13.65,40.62,29.9,4.13,32.29,6.97,876,Severe
Ahmedabad,21-03-2019,62.04,,24.16,60.52,29.65,,24.16,38.14,41.42,4.12,32.34,6.98,380,Very Poor
Ahmedabad,22-03-2019,73.98,,43.21,64.62,40.71,,43.21,28.52,48.02,4.1,32.34,6.99,730,Severe
Ahmedabad,23-03-2019,75.84,,41.7,95.28,46.74,,41.7,54.31,50.85,4.14,32.29,7.02,998,Severe
Ahmedabad,24-03-2019,92.21,,26.17,69.96,60.01,,26.17,39.96,43.76,4.13,32.37,7.03,917,Severe
Ahmedabad,25-03-2019,64.71,,20.95,81.65,31.09,,20.95,65.11,38.94,4.09,32.4,6.99,402,Severe
Ahmedabad,26-03-2019,67.44,,15.64,86.7,29.34,,15.64,61.6,47.12,4.13,32.33,6.98,404,Severe
Ahmedabad,27-03-2019,69.51,,54.2,85.74,53.69,,54.2,69.03,63.51,4.13,32.34,7.03,559,Severe
Ahmedabad,28-03-2019,112.44,,61.37,88.16,69.9,,61.37,88.25,41.77,4.19,32.47,7.03,1459,Severe
Ahmedabad,29-03-2019,133.21,,50,62.67,47.93,,50,45.16,24.82,4.2,32.49,7.06,1222,Severe
Ahmedabad,30-03-2019,89.74,,33.94,68.97,35.31,,33.94,9.65,17.76,4.14,32.47,7.07,869,Severe
Ahmedabad,31-03-2019,74.35,,11.84,58.93,24.38,,11.84,10.22,28.63,4.16,32.38,7,471,Severe
Ahmedabad,01-04-2019,96.96,,16.25,88.34,42.22,,16.25,15.4,30.19,4.21,32.45,7.08,353,Very Poor
Ahmedabad,02-04-2019,122.78,,36.74,99.37,75.89,,36.74,15.97,25.6,4.21,32.53,7.11,679,Severe
Ahmedabad,03-04-2019,109.21,,47.6,90.25,79.91,,47.6,13.25,26.93,4.22,32.5,7.17,688,Severe
Ahmedabad,04-04-2019,94.41,,20.27,84.32,56.25,,20.27,9.95,21.82,4.2,32.43,7.17,1044,Severe
Ahmedabad,05-04-2019,97.92,,23.05,75.36,53.96,,23.05,11.42,17.98,4.21,32.54,7.06,537,Severe
Ahmedabad,06-04-2019,97.68,,21.56,72.48,51.45,,21.56,12.63,20.2,4.18,32.42,7.08,420,Severe
Ahmedabad,07-04-2019,99.9,,24.47,56.89,46.01,,24.47,15.72,15.01,4.21,32.43,7.08,534,Severe
Ahmedabad,08-04-2019,78.55,,26.28,69.17,53.36,,26.28,11.52,18.04,4.18,32.45,7.09,472,Severe
Ahmedabad,09-04-2019,73.58,,19.53,63.23,45.42,,19.53,11.56,26.46,4.22,32.51,7.09,493,Severe
Ahmedabad,10-04-2019,64.02,,51.44,40.04,56.47,,51.44,6.21,13.73,4.16,32.52,7.14,566,Severe
Ahmedabad,11-04-2019,81.22,,65.1,44.75,67.79,,65.1,7.27,15.7,4.23,32.46,7.16,1121,Severe
Ahmedabad,12-04-2019,75.74,,21.38,67.43,48.85,,21.38,8.99,17.56,4.2,32.5,7.11,944,Severe
Ahmedabad,13-04-2019,70.14,,20.83,68.1,48.76,,20.83,5.29,27.51,4.23,32.6,7.14,395,Very Poor
Ahmedabad,14-04-2019,67.2,,11.75,57.38,36.76,,11.75,7.75,46.45,4.23,32.52,7.18,406,Severe
Ahmedabad,15-04-2019,225.49,,29.7,62.65,51.85,,29.7,30.33,36.29,4.18,32.5,7.11,649,Severe
Ahmedabad,16-04-2019,182.46,,15.24,59.22,40.26,,15.24,49.94,48.98,4.23,32.5,7.17,428,Severe
Ahmedabad,17-04-2019,95.69,,9.19,60.62,36.3,,9.19,85.28,75.85,4.19,32.5,7.12,392,Very Poor
Ahmedabad,18-04-2019,93.12,,8.88,72.4,41.94,,8.88,36.52,74.03,4.19,32.49,7.11,274,Poor
Ahmedabad,19-04-2019,64.3,,10.74,95.27,54.49,,10.74,57.46,74.2,4.19,32.52,7.15,354,Very Poor
Ahmedabad,20-04-2019,81.71,,23.23,128.87,79.56,,23.23,91.79,77.88,4.2,32.51,7.08,419,Severe
Ahmedabad,21-04-2019,66.39,,60.25,77.36,83.16,,60.25,50.53,63.95,4.16,32.47,7.06,1205,Severe
Ahmedabad,22-04-2019,92.59,,35.37,92.43,71.48,,35.37,72.51,63.21,4.18,32.45,7.07,778,Severe
Ahmedabad,23-04-2019,84.47,,27.88,85.23,63.88,,27.88,70.3,59.98,4.21,32.42,7.08,730,Severe
Ahmedabad,24-04-2019,76.98,,9.49,43.57,28.34,,9.49,51.35,40.16,4.31,32.51,7.17,608,Severe
Ahmedabad,25-04-2019,,,,,,,,,,,,,,
Ahmedabad,26-04-2019,,,,,,,,,,,,,,
Ahmedabad,27-04-2019,84.95,,38.54,63.41,79.01,,38.54,54.58,69.89,4.19,32.44,7.12,,
Ahmedabad,28-04-2019,91.99,,75.71,46.84,82.03,,75.71,42.2,51.25,4.14,32.49,7.13,1346,Severe
Ahmedabad,29-04-2019,110.7,,11.92,49.22,32.91,,11.92,49.14,57.93,4.15,32.46,7.1,1015,Severe
Ahmedabad,30-04-2019,132.76,,9.13,65.49,38.76,,9.13,55.8,78.36,4.16,32.36,7.03,255,Poor
Ahmedabad,01-05-2019,113.47,,23.43,70.08,51.67,,23.43,83.88,49.54,4.15,32.44,7.07,518,Severe
Ahmedabad,02-05-2019,101.68,,24.04,76.61,55.31,,24.04,106.65,64.47,4.14,32.48,7.02,604,Severe
Ahmedabad,03-05-2019,86.07,,13.77,62.42,40.29,,13.77,96.27,41.5,4.19,32.43,7.13,315,Very Poor
Ahmedabad,04-05-2019,72.58,,14.52,54.32,37.33,,14.52,77.82,2.97,4.21,32.49,7.08,326,Very Poor
Ahmedabad,05-05-2019,81.79,,19.4,58.23,42.89,,19.4,136.27,3.02,4.15,32.45,7.11,449,Severe
Ahmedabad,06-05-2019,72.54,,23.99,74.87,54.42,,23.99,98.42,3.11,4.19,32.45,7.06,455,Severe
Ahmedabad,07-05-2019,58.71,,12.69,70.34,31.99,,12.69,66.1,2.16,4.18,32.32,7.06,398,Very Poor
Ahmedabad,08-05-2019,72.51,,15.56,57.84,39.83,,15.56,88.54,3.12,4.19,32.52,7.11,346,Very Poor
Ahmedabad,09-05-2019,43.83,,11.8,43.77,17,,11.8,46.28,3.13,4.09,32.35,6.94,291,Poor
Ahmedabad,10-05-2019,15.52,,,,0,,,1.31,,3.78,28.55,6.81,,
Ahmedabad,11-05-2019,,,,,0,,,,,0,0,0,,
Ahmedabad,12-05-2019,,,,,0,,,,,0,0,0,,
Ahmedabad,13-05-2019,,,,,0,,,,,0,0,0,,
Ahmedabad,14-05-2019,46.04,141.54,17.26,130.23,49.54,,17.26,107.28,48.32,8.89,52.6,8.78,,
Ahmedabad,15-05-2019,37.55,122.41,15.08,85.12,58.72,,15.08,163.01,48.23,16.44,85.54,14.19,281,Poor
Ahmedabad,16-05-2019,33.97,116.32,14.67,79.71,55.61,,14.67,91.26,51.86,15.55,83.89,13.15,330,Very Poor
Ahmedabad,17-05-2019,35.48,130.07,18.02,77.61,58.41,,18.02,98.35,38.99,15.88,83.83,13.34,356,Very Poor
Ahmedabad,18-05-2019,34.11,138.31,13.27,75.23,51.83,,13.27,88.66,42.22,15.93,82.73,13.44,359,Very Poor
Ahmedabad,19-05-2019,33.69,111.73,34.56,68.9,69.77,,34.56,80.9,36.95,15.53,84.17,13.19,547,Severe
Ahmedabad,20-05-2019,42.31,118.65,17.47,81.84,59.84,,17.47,89.57,46.68,15.98,83.87,13.6,813,Severe
Ahmedabad,21-05-2019,24.6,103.88,11.03,81.24,52.21,,11.03,80.74,46.65,15.31,82.95,11.66,321,Very Poor
Ahmedabad,22-05-2019,27.93,103.3,11.44,76.75,50.49,,11.44,86.48,54.34,15.6,84.17,13.6,270,Poor
Ahmedabad,23-05-2019,41.39,135.65,14.29,89.1,59.76,,14.29,105.96,49.7,16.33,83.95,13.48,323,Very Poor
Ahmedabad,24-05-2019,46.79,148,14.31,93.27,61.82,,14.31,131.04,56.31,15.21,82.4,11.95,344,Very Poor
Ahmedabad,25-05-2019,51.63,156.97,17.96,89.18,63.98,,17.96,134.22,49.62,15.72,83.2,13.93,404,Severe
Ahmedabad,26-05-2019,63.15,177.87,28.03,100.08,80.78,,28.03,122.43,50.32,17.05,84.59,13.16,558,Severe
Ahmedabad,27-05-2019,57.47,163.36,21.39,112.68,79.36,,21.39,143.3,52.19,16.47,84.11,13.58,435,Severe
Ahmedabad,28-05-2019,50.27,156.63,21.02,103.05,74.24,,21.02,118.55,49.86,16.92,85.28,14.2,440,Severe
Ahmedabad,29-05-2019,42.02,140.66,16.43,71.51,53.58,,16.43,82.75,52.44,16.99,85.25,13.8,374,Very Poor
Ahmedabad,30-05-2019,48.74,153.69,19.89,91.02,67.08,,19.89,138.12,52.86,17.04,83.72,13.55,515,Severe
Ahmedabad,31-05-2019,46.51,136.34,16.75,85.37,60.74,,16.75,145.55,44.53,15.68,84.55,13.67,360,Very Poor
Ahmedabad,01-06-2019,48.1,142.06,23.83,70.71,61.67,,23.83,142.52,40.22,15.5,84.08,12.18,467,Severe
Ahmedabad,02-06-2019,41.38,119.91,21.8,70.35,59.18,,21.8,134.76,41.5,15.9,83.78,14.01,402,Severe
Ahmedabad,03-06-2019,46.46,134.2,22.33,74.31,61.71,,22.33,137.83,47.63,14.5,81.45,10.98,419,Severe
